"","SampleID","AnalysisType","values","MesquiteNum","Plot","SoilType","CanopyStatus","PatchType"
"155","M2_NC_2","ElectricalConductivity.dS.m.",0.12,"M2","NC","Sterile","Mesquite","Native"
"156","M2_NC_2","Ca.ppm.",300,"M2","NC","Sterile","Mesquite","Native"
"157","M2_NC_2","Mg.ppm.",51,"M2","NC","Sterile","Mesquite","Native"
"158","M2_NC_2","Na.ppm.",25,"M2","NC","Sterile","Mesquite","Native"
"159","M2_NC_2","K.ppm.",150,"M2","NC","Sterile","Mesquite","Native"
"160","M2_NC_2","Zn.ppm.",1,"M2","NC","Sterile","Mesquite","Native"
"161","M2_NC_2","Fe.ppm.",25,"M2","NC","Sterile","Mesquite","Native"
"162","M2_NC_2","Mn.ppm.",27,"M2","NC","Sterile","Mesquite","Native"
"163","M2_NC_2","Cu.ppm.",1.2,"M2","NC","Sterile","Mesquite","Native"
"164","M2_NC_2","Ni.ppm.",0.059,"M2","NC","Sterile","Mesquite","Native"
"165","M2_NC_2","NO3.N.ppm.",5,"M2","NC","Sterile","Mesquite","Native"
"166","M2_NC_2","PO4.P.ppm.",11,"M2","NC","Sterile","Mesquite","Native"
"167","M2_NC_2","SO4.S.ppm.",8.1,"M2","NC","Sterile","Mesquite","Native"
"168","M2_NC_2","B.ppm.",0.94,"M2","NC","Sterile","Mesquite","Native"
"169","M2_NC_2","ESP...",4.51,"M2","NC","Sterile","Mesquite","Native"
"170","M2_NC_2","CEC.meq.100g.",2.41,"M2","NC","Sterile","Mesquite","Native"
"171","M2_IC_1","pH",5.3,"M2","IC","Live","Mesquite","Invasive"
"172","M2_IC_1","ElectricalConductivity.dS.m.",0.19,"M2","IC","Live","Mesquite","Invasive"
"173","M2_IC_1","Ca.ppm.",530,"M2","IC","Live","Mesquite","Invasive"
"174","M2_IC_1","Mg.ppm.",58,"M2","IC","Live","Mesquite","Invasive"
"175","M2_IC_1","Na.ppm.",27,"M2","IC","Live","Mesquite","Invasive"
"176","M2_IC_1","K.ppm.",170,"M2","IC","Live","Mesquite","Invasive"
"177","M2_IC_1","Zn.ppm.",1.6,"M2","IC","Live","Mesquite","Invasive"
"178","M2_IC_1","Fe.ppm.",47,"M2","IC","Live","Mesquite","Invasive"
"179","M2_IC_1","Mn.ppm.",12,"M2","IC","Live","Mesquite","Invasive"
"180","M2_IC_1","Cu.ppm.",3.5,"M2","IC","Live","Mesquite","Invasive"
"181","M2_IC_1","Ni.ppm.",0.12,"M2","IC","Live","Mesquite","Invasive"
"182","M2_IC_1","NO3.N.ppm.",13,"M2","IC","Live","Mesquite","Invasive"
"183","M2_IC_1","PO4.P.ppm.",16,"M2","IC","Live","Mesquite","Invasive"
"184","M2_IC_1","SO4.S.ppm.",6.4,"M2","IC","Live","Mesquite","Invasive"
"185","M2_IC_1","B.ppm.",0.43,"M2","IC","Live","Mesquite","Invasive"
"186","M2_IC_1","ESP...",3.2,"M2","IC","Live","Mesquite","Invasive"
"187","M2_IC_1","CEC.meq.100g.",3.67,"M2","IC","Live","Mesquite","Invasive"
"188","M2_IC_2","pH",5.3,"M2","IC","Sterile","Mesquite","Invasive"
"189","M2_IC_2","ElectricalConductivity.dS.m.",0.2,"M2","IC","Sterile","Mesquite","Invasive"
"190","M2_IC_2","Ca.ppm.",500,"M2","IC","Sterile","Mesquite","Invasive"
"191","M2_IC_2","Mg.ppm.",54,"M2","IC","Sterile","Mesquite","Invasive"
"192","M2_IC_2","Na.ppm.",22,"M2","IC","Sterile","Mesquite","Invasive"
"193","M2_IC_2","K.ppm.",120,"M2","IC","Sterile","Mesquite","Invasive"
"194","M2_IC_2","Zn.ppm.",1.5,"M2","IC","Sterile","Mesquite","Invasive"
"195","M2_IC_2","Fe.ppm.",34,"M2","IC","Sterile","Mesquite","Invasive"
"196","M2_IC_2","Mn.ppm.",24,"M2","IC","Sterile","Mesquite","Invasive"
"197","M2_IC_2","Cu.ppm.",1.4,"M2","IC","Sterile","Mesquite","Invasive"
"198","M2_IC_2","Ni.ppm.",0.082,"M2","IC","Sterile","Mesquite","Invasive"
"199","M2_IC_2","NO3.N.ppm.",7,"M2","IC","Sterile","Mesquite","Invasive"
"200","M2_IC_2","PO4.P.ppm.",9.8,"M2","IC","Sterile","Mesquite","Invasive"
"201","M2_IC_2","SO4.S.ppm.",7.1,"M2","IC","Sterile","Mesquite","Invasive"
"202","M2_IC_2","B.ppm.",0.33,"M2","IC","Sterile","Mesquite","Invasive"
"203","M2_IC_2","ESP...",2.86,"M2","IC","Sterile","Mesquite","Invasive"
"204","M2_IC_2","CEC.meq.100g.",3.34,"M2","IC","Sterile","Mesquite","Invasive"
